"product_type_id","is_departure","prior_ttl_bucket","prior_delay_bucket","latest_sample_delay_bucket","sample_count"
1,False,"[-15,-10)","[0,1)","[0,1)",437
1,False,"[-15,-10)","[0,1)","[21,26)",1
1,False,"[-15,-10)","[0,1)","[26,31)",5
1,False,"[-15,-10)","[0,1)","[31,46)",2
1,False,"[-15,-10)","[0,1)","[76,91)",2
1,False,"[-10,-5)","[0,1)","[0,1)",1139
1,False,"[-10,-5)","[0,1)","[1,2)",2
1,False,"[-10,-5)","[0,1)","[3,4)",3
1,False,"[-10,-5)","[0,1)","[16,21)",4
1,False,"[-10,-5)","[0,1)","[26,31)",5
1,False,"[-5,0)","[0,1)","[0,1)",1712
1,False,"[-5,0)","[0,1)","[1,2)",24
1,False,"[-5,0)","[0,1)","[2,3)",8
1,False,"[-5,0)","[0,1)","[3,4)",11
1,False,"[-5,0)","[0,1)","[4,5)",4
1,False,"[-5,0)","[0,1)","[5,6)",1
1,False,"[-5,0)","[0,1)","[6,7)",1
1,False,"[-5,0)","[0,1)","[8,9)",1
1,False,"[-5,0)","[0,1)","[11,16)",1
1,False,"[-5,0)","[0,1)","[16,21)",5
1,False,"[-5,0)","[0,1)","[26,31)",5
1,False,"[-5,0)","[0,1)","[31,46)",1
1,False,"[-5,0)","[0,1)","[61,76)",1
1,False,"[0,5)","[0,1)","[0,1)",171186
1,False,"[0,5)","[0,1)","[1,2)",9403
1,False,"[0,5)","[0,1)","[2,3)",4116
1,False,"[0,5)","[0,1)","[3,4)",4228
1,False,"[0,5)","[0,1)","[4,5)",1747
1,False,"[0,5)","[0,1)","[5,6)",616
1,False,"[0,5)","[0,1)","[6,7)",356
1,False,"[0,5)","[0,1)","[7,8)",283
1,False,"[0,5)","[0,1)","[8,9)",134
1,False,"[0,5)","[0,1)","[9,10)",121
1,False,"[0,5)","[0,1)","[10,11)",88
1,False,"[0,5)","[0,1)","[11,16)",267
1,False,"[0,5)","[0,1)","[16,21)",139
1,False,"[0,5)","[0,1)","[21,26)",53
1,False,"[0,5)","[0,1)","[26,31)",71
1,False,"[0,5)","[0,1)","[31,46)",63
1,False,"[0,5)","[0,1)","[46,61)",82
1,False,"[0,5)","[0,1)","[61,76)",17
1,False,"[0,5)","[0,1)","[76,91)",10
1,False,"[0,5)","[0,1)","[91,)",84
1,False,"[0,5)","[0,1)",NULL,25
1,False,"[5,10)","[0,1)","[0,1)",302944
1,False,"[5,10)","[0,1)","[1,2)",22345
1,False,"[5,10)","[0,1)","[2,3)",10071
1,False,"[5,10)","[0,1)","[3,4)",10001
1,False,"[5,10)","[0,1)","[4,5)",4298
1,False,"[5,10)","[0,1)","[5,6)",1383
1,False,"[5,10)","[0,1)","[6,7)",923
